area_type,availability,location,size,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,"Zuoying Dist., Kaohsiung City",3 BHK,1820,1,3,2236
Built-up  Area,Ready To Move,"Renwu Dist., Kaohsiung City",3 BHK,1440,1,3,1690
Super built-up  Area,Ready To Move,"Dashe Dist., Kaohsiung City",6 BHK,3600,2,1,4160
Built-up  Area,Ready To Move,"Dongsha Islands, Nanhai Islands",4 BHK,2500,2,2,8450
Super built-up  Area,18-Aug,"Nansha Islands, Nanhai Islands",2 BHK,1225,1,2,1248
Plot  Area,Ready To Move,"Gangshan Dist., Kaohsiung City",3 Bedroom,4000,2,1,17160
Carpet  Area,Ready To Move,"Luzhu Dist., Kaohsiung City",2 BHK,875,1,3,1372.8
Super built-up  Area,Ready To Move,"Alian Dist., Kaohsiung City",1 BHK,750,1,2,1040
Super built-up  Area,Ready To Move,"Tianliao Dist., Kaohsiung City",2 BHK,1180,1,3,2080
Super built-up  Area,Ready To Move,"Yanchao Dist., Kaohsiung City",2 BHK,1194,1,2,1222
Super built-up  Area,Ready To Move,"Qiaotou Dist., Kaohsiung City",3 BHK,1500,1,2,1612
Super built-up  Area,Ready To Move,"Ziguan Dist., Kaohsiung City",2 BHK,1160,1,2,1357.2
Built-up  Area,Ready To Move,"Mituo Dist., Kaohsiung City",9 Bedroom,4125ping,6,,6890
Super built-up  Area,Ready To Move,"Dashu Dist., Kaohsiung City",3 BHK,2378,2,1,6812
Super built-up  Area,Ready To Move,"Hunei Dist., Kaohsiung City",2 BHK,1128,1,1,1560
Super built-up  Area,Ready To Move,"Fengshan Dist., Kaohsiung City",3 BHK,1500,2,1,3900
Built-up  Area,18-Aug,"Daliao Dist., Kaohsiung City",3 BHK,1220,1,1,915.98
Super built-up  Area,Ready To Move,"Linyuan Dist., Kaohsiung City",2 BHK,1210,1,2,1508
Super built-up  Area,20-Oct,"Niaosong Dist., Kaohsiung City",3 BHK,1100,1,1,1508
Super built-up  Area,Ready To Move,"Dashu Dist., Kaohsiung City",3 BHK,1200,2,2,1196
Built-up  Area,18-Mar,"Qishan Dist., Kaohsiung City",4 BHK,3385,2,,6760
Super built-up  Area,Ready To Move,"Meinong Dist., Kaohsiung City",3 BHK,1641,2,2,1716
Super built-up  Area,Ready To Move,"Liugui Dist., Kaohsiung City",2 BHK,1200,1,1,1170
Super built-up  Area,Ready To Move,"Neimen Dist., Kaohsiung City",2 BHK,1260,1,1,1752.14
Super built-up  Area,Ready To Move,"Shanlin Dist., Kaohsiung City",3 BHK,1720,2,3,2028
Super built-up  Area,Ready To Move,"Jiaxian Dist., Kaohsiung City",2 BHK,1120 - 1145,1,0,1251.38
Super built-up  Area,Ready To Move,"Taoyuan Dist., Kaohsiung City",2 BHK,1210,1,1,1195.48
Built-up  Area,Ready To Move,"Namaxia Dist., Kaohsiung City",4 Bedroom,2200,2,2,5200
Super built-up  Area,Ready To Move,"Maolin Dist., Kaohsiung City",3 BHK,1075,1,1,1170
Built-up  Area,Ready To Move,"Qieding Dist., Kaohsiung City",3 BHK,1702,2,2,3380
Super built-up  Area,Ready To Move,"Magong City, Penghu County",2 BHK,1630,1,2,5200
Super built-up  Area,Ready To Move,"Xiyu Township, Penghu County",2 BHK,1141,1,2,1002.3
Super built-up  Area,18-Apr,"Chunri Township, Pingtung County",3 BHK,2072,2,2,2808
Super built-up  Area,18-Dec,"Qimei Township, Penghu County",5 BHK,4400 - 6640,,,9750
Built-up  Area,Ready To Move,"Baisha Township, Penghu County",3 Bedroom,1200,1,0,1820
Super built-up  Area,Ready To Move,"Huxi Township, Penghu County",3 BHK,1350,2,0,2002
Built-up  Area,18-Mar,"Jinsha Township, Kinmen County",4 Bedroom,3090 - 5002,2,0,11570
Super built-up  Area,18-Dec,"Jinhu Township, Kinmen County",3 BHK,1180,1,2,2036.84
Built-up  Area,Ready To Move,"Jinning Township, Kinmen County",3 BHK,35000,2,3,3380
Super built-up  Area,Ready To Move,"Jincheng Township, Kinmen County",2 BHK,1355,1,2,2990
Plot  Area,Ready To Move,"Lieyu Township, Kinmen County",1 Bedroom,600,1,0,1300
Plot  Area,Ready To Move,"Wuqiu Township, Kinmen County",7 Bedroom,1200,3,,3900
Super built-up  Area,Ready To Move,"Pingtung City, Pingtung County",3 BHK,1640,1,1,3120
Plot  Area,Ready To Move,"Sandimen Township, Pingtung County",5 Bedroom,1200,2,0,2600
Super built-up  Area,Ready To Move,"Wutai Township, Pingtung County",3 BHK,1190,1,2,1482
Plot  Area,Ready To Move,"Majia Township, Pingtung County",4 Bedroom,2400,2,2,9750
Super built-up  Area,Ready To Move,"Jiuru Township, Pingtung County",2 BHK,1019,1,2,1296.1
Super built-up  Area,Ready To Move,"Ligang Township, Pingtung County",3 BHK,1875,2,2,4290
Super built-up  Area,18-May,"Gaoshu Township, Pingtung County",3 BHK,1250,2,2,1040
Plot  Area,Ready To Move,"Yanpu Township, Pingtung County",3 Bedroom,1200,2,2,3640
Super built-up  Area,Ready To Move,"Changzhi Township, Pingtung County",2 BHK,1140,1,1,1456
Super built-up  Area,Ready To Move,"Linluo Township, Pingtung County",3 BHK,1683,2,1,2834
Super built-up  Area,Ready To Move,"Zhutian Township, Pingtung County",3 BHK,1515,2,,2165.8
Super built-up  Area,19-Dec,"Neipu Township, Pingtung County",4 BHK,2118,2,2,2886
Built-up  Area,Ready To Move,"Wandan Township, Pingtung County",4 Bedroom,1380,2,0,1508
Super built-up  Area,Ready To Move,"Chaozhou Township, Pingtung County",2 BHK,1083,1,2,1605.5
Plot  Area,Ready To Move,"Taiwu Township, Pingtung County",2 Bedroom,600,1,1,1430
Built-up  Area,Ready To Move,"Laiyi Township, Pingtung County",3 BHK,2300,2,3,3120
Super built-up  Area,Ready To Move,"Wanluan Township, Pingtung County",2 BHK,1240,1,2,1560
Super built-up  Area,Ready To Move,"Kanding Township, Pingtung County",3 BHK,1750,2,1,3120
Super built-up  Area,18-Apr,"Xinpi Township, Pingtung County",2 BHK,1230,1,,1130.48
Plot  Area,17-Aug,"Nanzhou Township, Pingtung County",3 Bedroom,1500,2,1,3614
Super built-up  Area,Ready To Move,"Linbian Township, Pingtung County",2 BHK,985,1,1,1050.14
Plot  Area,Ready To Move,"Donggang Township, Pingtung County",3 Bedroom,1500,1,1,2262
Built-up  Area,18-Dec,"Liuqiu Township, Pingtung County",2 BHK,1125,1,1,844.74
Built-up  Area,Ready To Move,"Jiadong Township, Pingtung County",2 BHK,950,1,1,1144
Super built-up  Area,18-Dec,"Xinyuan Township, Pingtung County",5 BHK,4400 - 6800,,,14261
Super built-up  Area,Ready To Move,"Fangliao Township, Pingtung County",3 BHK,1580,2,3,1976
Plot  Area,Ready To Move,"Fangshan Township, Pingtung County",3 Bedroom,1092,1,1,2561
Built-up  Area,18-Jul,"Chunri Township, Pingtung County",2 BHK,1090,1,1,736.84
Built-up  Area,19-Mar,"Shizi Township, Pingtung County",3 Bedroom,2264,2,1,4134
Super built-up  Area,19-Aug,"Checheng Township, Pingtung County",3 BHK,1033,1,2,663.78
Super built-up  Area,18-Apr,"Mudan Township, Pingtung County",2 BHK,810,1,2,637
Super built-up  Area,Ready To Move,"Hengchun Township, Pingtung County",2 BHK,1045,1,0,1170
Super built-up  Area,18-Sep,"Manzhou Township, Pingtung County",2 BHK,1337,1,1,2132
Super built-up  Area,Ready To Move,"Taitung City, Taitung County",2 BHK,1200,1,2,832
Super built-up  Area,Ready To Move,"Ludao Township, Taitung County",3 BHK,1580,2,2,4160
Super built-up  Area,Ready To Move,"Lanyu Township, Taitung County",3 BHK,1500,1,3,1404
Super built-up  Area,18-Sep,"Yanping Township, Taitung County",3 BHK,1640,2,2,2366
Super built-up  Area,Ready To Move,"Beinan Township, Taitung County",3 BHK,1570,2,2,1612
Super built-up  Area,Ready To Move,"Luye Township, Taitung County",3 BHK,1470,1,2,2132
Super built-up  Area,Ready To Move,"Guanshan Township, Taitung County",2 BHK,1160,1,2,1055.86
Built-up  Area,Ready To Move,"Haiduan Township, Taitung County",2 BHK,1050,1,1,1846
Super built-up  Area,20-Jun,"Chishang Township, Taitung County",3 BHK,1855,2,1,5850
Super built-up  Area,Ready To Move,"Donghe Township, Taitung County",3 BHK,1460,1,1,2340
Built-up  Area,Ready To Move,"Chenggong Township, Taitung County",3 BHK,1823,2,2,2600
Super built-up  Area,Ready To Move,"Changbin Township, Taitung County",2 BHK,1094,1,2,1092
Super built-up  Area,Ready To Move,"Taimali Township, Taitung County",2 BHK,1153,1,2,1482
Built-up  Area,Ready To Move,"Jinfeng Township, Taitung County",3 BHK,1325,2,1,1482
Plot  Area,Ready To Move,"Dawu Township, Taitung County",4 Bedroom,1200,2,2,2210
Built-up  Area,Ready To Move,"Daren Township, Taitung County",3 BHK,1590,1,2,3250
Plot  Area,Ready To Move,"Hualien City, Hualien County",5 Bedroom,1210,2,2,4160
Plot  Area,Ready To Move,"Xincheng Township, Hualien County",4 Bedroom,1200,2,0,5720
Super built-up  Area,Ready To Move,"Xiulin Township, Hualien County",2 BHK,1202,1,1,1248
Built-up  Area,Ready To Move,"Guangfu Township, Hualien County",2 BHK,1202,1,1,1378
Super built-up  Area,Ready To Move,"Shoufeng Township, Hualien County",2 BHK,1200,1,3,1625
Super built-up  Area,18-Feb,"Fenglin Township, Hualien County",3 BHK,1688,2,1,3068
Built-up  Area,Ready To Move,"Guangfu Township, Hualien County",2 BHK,1020,1,1,1352
Super built-up  Area,Ready To Move,"Fengbin Township, Hualien County",2 BHK,1185,1,2,1222
Super built-up  Area,17-Oct,"Ruisui Township, Hualien County",2 BHK,1235,1,1,1353.04
Super built-up  Area,Ready To Move,"Wanrong Township, Hualien County",4 BHK,3205,2,1,13000
Super built-up  Area,Ready To Move,"Yuli Township, Hualien County",2 BHK,1077,1,2,978.64
Super built-up  Area,Ready To Move,"Zhuoxi Township, Hualien County",3 BHK,1415,1,3,1716
Super built-up  Area,18-Apr,"Fuli Township, Hualien County",3 BHK,2330,2,2,4212
Super built-up  Area,Ready To Move,"Toufen City, Miaoli County",2 BHK,805,1,2,910
Built-up  Area,Ready To Move,"Yuanlin City, Changhua County",1 BHK,425,1,0,520.78
Super built-up  Area,Ready To Move,"Zhongzheng Dist., Taipei City",2 BHK,1155,1,3,1558.7
Super built-up  Area,Ready To Move,"Datong Dist., Taipei City",4 BHK,5270,2,3,32500
Super built-up  Area,Ready To Move,"Zhongshan Dist., Taipei City",2 BHK,656,1,1,572
Built-up  Area,Ready To Move,"Songshan Dist., Taipei City",2 BHK,1100,1,0,1248
Super built-up  Area,Ready To Move,"Nangang Dist., Taipei City",2 BHK,1150,1,3,1352
Plot  Area,Ready To Move,"Wanhua Dist., Taipei City",1 Bedroom,600,1,1,1560
Super built-up  Area,Ready To Move,"Xinyi Dist., Taipei City",2 BHK,1468,1,1,3640
Plot  Area,Ready To Move,"Shilin Dist., Taipei City",4 Bedroom,4300,2,2,14300
Super built-up  Area,18-Dec,"Beitou Dist., Taipei City",3 BHK,2280,2,2,3276
Super built-up  Area,Ready To Move,"Neihu Dist., Taipei City",2 BHK,1341,1,1,2522
Super built-up  Area,Ready To Move,"Nangang Dist., Taipei City",2 BHK,1279,1,1,2002
Super built-up  Area,18-Dec,"Wenshan Dist., Taipei City",4 BHK,2225,2,0,2570.88
Super built-up  Area,Ready To Move,"Yingge Dist., New Taipei City",2 BHK,1185,1,2,1131.26
Super built-up  Area,Ready To Move,"Xinyi Dist., Keelung City",3 BHK,1750,2,2,2210
Super built-up  Area,Ready To Move,"Zhongzheng Dist., Keelung City",2 BHK,1152,1,1,1391
Plot  Area,Ready To Move,"Zhongshan Dist., Keelung City",5 Bedroom,1000,2,1,4160
Super built-up  Area,Ready To Move,"Anle Dist., Keelung City",2 BHK,1300,1,3,936
Plot  Area,18-Nov,"Nuannuan Dist., Keelung City",4 Bedroom,2760,2,2,4030
Super built-up  Area,18-Aug,"Qidu Dist., Keelung City",2 BHK,1070,1,2,1014
Super built-up  Area,Ready To Move,"Wanli Dist., New Taipei City",2 BHK,1101,1,0,1170
Super built-up  Area,Ready To Move,"Jinshan Dist., New Taipei City",2 BHK,775,1,1,1430
Super built-up  Area,Ready To Move,"Nangan Township, Lienchiang County",1 BHK,667,1,1,958.1
Super built-up  Area,Ready To Move,"Beigan Township, Lienchiang County",2 BHK,1070,1,1,1430
Built-up  Area,Ready To Move,"Juguang Township, Lienchiang County",3 BHK,1875,1,2,2860
Super built-up  Area,Ready To Move,"Dongyin Township, Lienchiang County",2 BHK,735,1,1,1507.74
Plot  Area,Ready To Move,"Banqiao Dist., New Taipei City",5 Bedroom,4360,2,1,2340
Super built-up  Area,Ready To Move,"Xizhi Dist., New Taipei City",3 BHK,1750,2,2,3380
Super built-up  Area,Ready To Move,"Shenkeng Dist., New Taipei City",2 BHK,1215,1,1,1742
Plot  Area,Ready To Move,"Shiding Dist., New Taipei City",9 Bedroom,600,6,3,4940
Super built-up  Area,Ready To Move,"Ruifang Dist., New Taipei City",2 BHK,820,1,1,780
Super built-up  Area,20-Dec,"Pingxi Dist., New Taipei City",2 BHK,1160 - 1195,1,0,1558.31
Super built-up  Area,Ready To Move,"Shuangxi Dist., New Taipei City",3 BHK,1779,2,2,2329.86
Built-up  Area,Ready To Move,"Gongliao Dist., New Taipei City",2 BHK,1105,1,2,1508
Built-up  Area,Ready To Move,"Xindian Dist., New Taipei City",1 BHK,1000Sqt.Meter,1,1,2418
Super built-up  Area,Ready To Move,"Pinglin Dist., New Taipei City",3 BHK,1650,2,2,1560
Super built-up  Area,Ready To Move,"Wulai Dist., New Taipei City",2 BHK,1694,1,2,3900
Super built-up  Area,Ready To Move,"Yonghe Dist., New Taipei City",3 BHK,2376,2,1,5278
Super built-up  Area,Ready To Move,"Zhonghe Dist., New Taipei City",3 BHK,1975,2,3,3900
Super built-up  Area,Ready To Move,"Tucheng Dist., New Taipei City",2 BHK,674,1,1,858
Super built-up  Area,Ready To Move,"Sanxia Dist., New Taipei City",2 BHK,1185,1,1,1066
Super built-up  Area,Ready To Move,"Shulin Dist., New Taipei City",1 RK,445,1,0,728
Built-up  Area,Ready To Move,"Yingge Dist., New Taipei City",6 Bedroom,900,3,,1976
Super built-up  Area,Ready To Move,"Sanchong Dist., New Taipei City",3 BHK,1475,2,2,1950
Super built-up  Area,Ready To Move,"Xinzhuang Dist., New Taipei City",3 BHK,1618,2,3,2145
Super built-up  Area,Ready To Move,"Taishan Dist., New Taipei City",2 BHK,1120,1,0,1690
Super built-up  Area,Ready To Move,"Linkou Dist., New Taipei City",4 BHK,2181,2,2,3952
Plot  Area,Ready To Move,"Luzhou Dist., New Taipei City",4 Bedroom,1200,2,0,2340
Plot  Area,Ready To Move,"Wugu Dist., New Taipei City",6 Bedroom,600,2,3,1690
Super built-up  Area,18-Oct,"Bali Dist., New Taipei City",3 BHK,1556,1,1,1537.38
Super built-up  Area,19-Feb,"Tamsui Dist., New Taipei City",2 BHK,1179,1,1,1716.52
Super built-up  Area,Ready To Move,"Sanzhi Dist., New Taipei City",2 BHK,1296,1,2,2158
Built-up  Area,Ready To Move,"Shimen Dist., New Taipei City",2 BHK,1275,1,2,1352
Built-up  Area,Ready To Move,"Yilan City, Yilan County",7 Bedroom,1875,1,2,7800
Super built-up  Area,Ready To Move,"Toucheng Township, Yilan County",3 BHK,1400,1,2,2002
Super built-up  Area,Ready To Move,"Jiaoxi Township, Yilan County",2 BHK,1222,1,1,1638
Super built-up  Area,Ready To Move,"Zhuangwei Township, Yilan County",2 BHK,940,1,1,1066
Super built-up  Area,Ready To Move,"Yuanshan Township, Yilan County",2 BHK,1185,1,2,1107.6
Super built-up  Area,Ready To Move,"Luodong Township, Yilan County",3 BHK,1779,2,2,2912
Super built-up  Area,Ready To Move,"Sanxing Township, Yilan County",3 BHK,1615,2,2,1553.76
Super built-up  Area,18-Dec,"Datong Township, Yilan County",4 BHK,4000 - 5249,,,11778
Super built-up  Area,Ready To Move,"Wujie Township, Yilan County",2 BHK,1056,1,1,1586
Super built-up  Area,Ready To Move,"Dongshan Township, Yilan County",2 BHK,1100,1,0,1196
Built-up  Area,Ready To Move,"Jiaoxi Township, Yilan County",2 BHK,920,1,1,1040
Super built-up  Area,Ready To Move,"Jiaoxi Township, Yilan County",3 BHK,1602,1,0,1950
Built-up  Area,Ready To Move,"Tamsui Dist., New Taipei City",2 BHK,1176,1,0,1612
Plot  Area,Ready To Move,"East Dist., Hsinchu City",4 Bedroom,675,2,1,1534
Super built-up  Area,Ready To Move,"North Dist., Hsinchu City",3 BHK,1352,2,0,3510
Built-up  Area,Ready To Move,"Xiangshan Dist., Hsinchu City",3 BHK,1717,2,3,2574
Plot  Area,18-Apr,"Zhubei City, Hsinchu County",4 Bedroom,10961,2,1,2080
Super built-up  Area,18-Jul,"Hukou Township, Hsinchu County",4 BHK,2119,2,3,2886
Super built-up  Area,Ready To Move,"Xinfeng Township, Hsinchu County",2 BHK,1246,1,1,1749.8
Super built-up  Area,17-Jul,"Xinpu Township, Hsinchu County",2 BHK,1141,1,1,1112.54
Built-up  Area,Ready To Move,"Guanxi Township, Hsinchu County",2 BHK,1157,1,1,2184
Super built-up  Area,18-Aug,"Qionglin Township, Hsinchu County",2 BHK,1025,1,2,719.68
Built-up  Area,Ready To Move,"Baoshan Township, Hsinchu County",1 BHK,650,1,2,858
Super built-up  Area,Ready To Move,"Zhudong Township, Hsinchu County",2 BHK,1349,1,1,2548
Super built-up  Area,Ready To Move,"Wufeng Township, Hsinchu County",3 BHK,1566,2,1,2165.8
Super built-up  Area,Ready To Move,"Hengshan Township, Hsinchu County",4 BHK,2830,2,3,5070
Built-up  Area,18-Dec,"Jianshi Township, Hsinchu County",3 BHK,1320,1,1,991.38
Super built-up  Area,18-Nov,"Beipu Township, Hsinchu County",3 BHK,1780,2,1,2205.58
Super built-up  Area,Ready To Move,"Emei Township, Hsinchu County",2 BHK,1091,1,1,907.4
Super built-up  Area,Ready To Move,"Zhongli Dist., Taoyuan City",4 BHK,3670,2,3,7800
Built-up  Area,Ready To Move,"Pingzhen Dist., Taoyuan City",2 BHK,918,1,1,1312.74
Super built-up  Area,20-Dec,"Longtan Dist., Taoyuan City",4 BHK,1950,2,0,3380
Super built-up  Area,Ready To Move,"Yangmei Dist., Taoyuan City City",3 BHK,1695,2,1,2340
Super built-up  Area,Ready To Move,"Xinwu Dist., Taoyuan City",3 BHK,1705,2,2,2470
Built-up  Area,Ready To Move,"Guanyin Dist., Taoyuan City",3 BHK,1375,2,2,1950
Super built-up  Area,21-Oct,"Taoyuan Dist., Taoyuan City",1 BHK,525,1,1,780
Built-up  Area,20-Dec,"Guishan Dist., Taoyuan City",2 BHK,1447,1,1,2158
Super built-up  Area,Ready To Move,"Bade Dist., Taoyuan City",2 BHK,1114,1,1,1014
Super built-up  Area,Ready To Move,"Daxi Dist., Taoyuan City",3 BHK,1450,1,1,2600
Super built-up  Area,Ready To Move,"Fuxing Dist., Taoyuan City",2 BHK,460,1,0,390
Built-up  Area,Ready To Move,"Dayuan Dist., Taoyuan City",2 BHK,1022,1,2,1040
Built-up  Area,Ready To Move,"Luzhu Dist., Taoyuan City",2 BHK,1000,1,2,1170
Super built-up  Area,18-Apr,"Zhunan Township, Miaoli County",2 BHK,1128,1,1,1787.5
Super built-up  Area,18-May,"Sanwan Township, Miaoli County",2 BHK,1180,1,2,1482
Built-up  Area,Ready To Move,"Nanzhuang Township, Miaoli County",6 Bedroom,1000,2,1,1794
Plot  Area,Ready To Move,"Shitan Township, Miaoli County",2 Bedroom,1200,1,1,3900
Super built-up  Area,Ready To Move,"Houlong Township, Miaoli County",3 BHK,3761,2,2,17160
Super built-up  Area,Ready To Move,"Tongxiao Township, Miaoli County",2 BHK,1339,1,3,1950
Super built-up  Area,Ready To Move,"Yuanli Township, Miaoli County",3 BHK,1400,1,3,1430
Super built-up  Area,Ready To Move,"Miaoli City, Miaoli County",2 BHK,1040,1,1,1027.52
Super built-up  Area,Ready To Move,"Zaoqiao Township, Miaoli County",2 BHK,1198,1,2,1508
Plot  Area,Ready To Move,"Touwu Township, Miaoli County",4 Bedroom,1200,2,,2470
Super built-up  Area,Ready To Move,"Gongguan Township, Miaoli County",3 BHK,1691,2,2,2938
Super built-up  Area,Ready To Move,"Dahu Township, Miaoli County",3 BHK,1075,2,2,936
Super built-up  Area,18-Jun,"Gongguan Township, Miaoli County",3 BHK,1630,2,2,5044
Super built-up  Area,18-Jun,"Tongluo Township, Miaoli County",3 BHK,1240,2,2,1131
Super built-up  Area,22-Dec,"Sanyi Township, Miaoli County",2 BHK,1115 - 1130,1,0,1532.31
Super built-up  Area,Ready To Move,"Xihu Township, Miaoli County",3 BHK,1665,2,2,2251.08
Built-up  Area,Ready To Move,"Zhuolan Township, Miaoli County",3 BHK,2489,2,,2444
Built-up  Area,Ready To Move,"Central Dist., Taichung City",2 BHK,1142,1,2,1820
Super built-up  Area,Ready To Move,"East Dist., Taichung City",3 BHK,1976,2,1,4784
Plot  Area,Ready To Move,"South Dist., Taichung City",4 Bedroom,5500,2,,15600
Super built-up  Area,Ready To Move,"West Dist., Taichung City",3 BHK,1853,2,2,2132
Plot  Area,Ready To Move,"North Dist., Taichung City",8 Bedroom,600,2,1,1872
Super built-up  Area,Ready To Move,"Beitun Dist., Taichung City",2 BHK,1567,1,2,2392
Super built-up  Area,Ready To Move,"Xitun Dist., Taichung City",2 BHK,1090,1,1,708.24
Plot  Area,Ready To Move,"Nantun Dist., Taichung City",6 Bedroom,1200,2,2,3250
Plot  Area,Ready To Move,"Taiping Dist., Taichung City",4 Bedroom,2400,2,1,16640
Super built-up  Area,Ready To Move,"Dali Dist., Taichung City",2 BHK,1175,1,2,1338.22
Built-up  Area,Ready To Move,"Wufeng Dist., Taichung City",2 BHK,1200,1,2,1352
Built-up  Area,Ready To Move,"Wuri Dist., Taichung City",2 BHK,995,1,1,1066
Super built-up  Area,Ready To Move,"Fengyuan Dist., Taichung City",2 BHK,884,1,1,1068.6
Plot  Area,Ready To Move,"Houli Dist., Taichung City",5 Bedroom,900,2,2,2080
Built-up  Area,Ready To Move,"Shigang Dist., Taichung City",2 BHK,1170,1,2,1482
Super built-up  Area,Ready To Move,"Dongshi Dist., Taichung City",2 BHK,1225,1,1,1210.3
Super built-up  Area,18-Apr,"Heping Dist., Taichung City",2 BHK,1342,1,1,1905.8
Built-up  Area,19-Dec,"Xinshe Dist., Taichung City",2 BHK,1345,1,1,1742
Built-up  Area,Ready To Move,"Tanzi Dist., Taichung City",3 BHK,1320,2,0,1690
Super built-up  Area,Ready To Move,"Daya Dist., Taichung City",2 BHK,1100Sq. Yards,1,,1170
Super built-up  Area,Ready To Move,"Shengang Dist., Taichung City",2 BHK,1140,1,1,1284.14
Super built-up  Area,Ready To Move,"Dadu Dist., Taichung City",2 BHK,1300,1,1,1300
Super built-up  Area,Ready To Move,"Shalu Dist., Taichung City",3 BHK,1652,2,2,2210
Super built-up  Area,Ready To Move,"Longjing Dist., Taichung City",3 BHK,2072,2,2,3692
Built-up  Area,Ready To Move,"Wuqi Dist., Taichung City",3 BHK,1740,1,,2470
Super built-up  Area,Ready To Move,"Qingshui Dist., Taichung City",3 BHK,1360,1,1,1846
Super built-up  Area,Ready To Move,"Dajia Dist., Taichung City",3 BHK,1145,1,2,1560
Built-up  Area,Ready To Move,"Waipu Dist., Taichung City",3 BHK,1540,1,0,1040
Super built-up  Area,Ready To Move,"Wuqi Dist., Taichung City",2 BHK,1278,1,2,2470
Super built-up  Area,18-May,"Changhua City, Changhua County",1 BHK,630,1,1,1040
Super built-up  Area,21-Jan,"Fenyuan Township, Changhua County",3 BHK,1100,2,2,1508
Plot  Area,Ready To Move,"Huatan Township, Changhua County",3 Bedroom,1200,2,0,2470
Built-up  Area,Ready To Move,"Xiushui Township, Changhua County",7 Bedroom,2500,2,2,2990
Super built-up  Area,18-Jun,"Lukang Township, Changhua County",1 BHK,520 - 645,1,0,393.51
Super built-up  Area,18-Sep,"Fuxing Township, Changhua County",2 BHK,1015,1,2,672.88
Built-up  Area,Ready To Move,"Xianxi Township, Changhua County",5 Bedroom,3300,2,2,6240
Plot  Area,Ready To Move,"Hemei Township, Changhua County",5 Bedroom,4500,2,1,10790
Super built-up  Area,Ready To Move,"Shengang Township, Changhua County",3 BHK,1356,1,3,1716
Super built-up  Area,Ready To Move,"Shetou Township, Changhua County",2 BHK,823,1,1,728
Plot  Area,Ready To Move,"Yongjing Township, Changhua County",3 Bedroom,1200,1,0,1716
Built-up  Area,Ready To Move,"Puxin Township, Changhua County",2 BHK,1050,1,0,962
Super built-up  Area,Ready To Move,"Xihu Township, Changhua County",2 BHK,1180,1,1,1794
Super built-up  Area,Ready To Move,"Dacun Township, Changhua County",2 BHK,1116,1,3,1349.66
Super built-up  Area,Ready To Move,"Puyan Township, Changhua County",2 BHK,1070,1,1,1112.54
Super built-up  Area,17-Mar,"Tianzhong Township, Changhua County",2 BHK,1385,1,3,2080
Plot  Area,Ready To Move,"Beidou Township, Changhua County",1 Bedroom,1000,1,1,1820
Built-up  Area,18-Feb,"Tianwei Township, Changhua County",3 BHK,1897,2,2,3380
Super built-up  Area,18-Aug,"Pitou Township, Changhua County",2 BHK,1005,1,1,1450.28
Super built-up  Area,Ready To Move,"Xizhou Township, Changhua County",3 BHK,1575,2,2,3250
Super built-up  Area,Ready To Move,"Zhutang Township, Changhua County",2 BHK,975,1,1,1690
Super built-up  Area,Ready To Move,"Erlin Township, Changhua County",3 BHK,1904,2,2,3120
Super built-up  Area,Ready To Move,"Dacheng Township, Changhua County",1 BHK,930,1,1,780
Super built-up  Area,21-Dec,"Fangyuan Township, Changhua County",1 BHK,525,1,1,676
Super built-up  Area,Ready To Move,"Ershui Township, Changhua County",1 BHK,686,1,1,442
Plot  Area,Ready To Move,"Nantou City, Nantou County",2 Bedroom,2400,2,1,3900
Plot  Area,Ready To Move,"Zhongliao Township, Nantou County",2 Bedroom,1410,1,0,6058
Built-up  Area,18-Apr,"Caotun Township, Nantou County",3 Bedroom,2238,2,1,3640
Super built-up  Area,Ready To Move,"Guoxing Township, Nantou County",2 BHK,1174,1,1,1794
Built-up  Area,Ready To Move,"Puli Township, Nantou County",4 Bedroom,3800,2,3,6214
Super built-up  Area,Ready To Move,"Nantou City, Nantou County",3 BHK,2225,1,1,3250
Super built-up  Area,Ready To Move,"Mingjian Township, Nantou County",2 BHK,1250,1,0,5200
Super built-up  Area,Ready To Move,"Jiji Township, Nantou County",2 BHK,918,1,2,1352
Super built-up  Area,Ready To Move,"Shuili Township, Nantou County",2 BHK,1250,1,3,1352
Super built-up  Area,Ready To Move,"Yuchi Township, Nantou County",3 BHK,1800,2,,2860
Built-up  Area,Ready To Move,"Xinyi Township, Nantou County",2 BHK,1170,1,3,1378
Super built-up  Area,Ready To Move,"Zhushan Township, Nantou County",1 BHK,1300,1,0,5200
Built-up  Area,Ready To Move,"Lugu Township, Nantou County",2 BHK,793,1,1,1170
Super built-up  Area,Ready To Move,"East Dist., Chiayi City",3 BHK,1710,2,2,2782
Super built-up  Area,Ready To Move,"West Dist., Chiayi City",3 BHK,1082,1,1,1495
Super built-up  Area,18-Mar,"Fanlu Township, Chiayi County",2 BHK,1001,1,2,858.78
Built-up  Area,Ready To Move,"Meishan Township, Chiayi County",4 Bedroom,1500,2,,4680
Super built-up  Area,Ready To Move,"Zhuqi Township, Chiayi County",3 BHK,1590,1,1,1404
Super built-up  Area,Ready To Move,"Alishan Township, Chiayi County",3 BHK,2400,1,0,2080
Super built-up  Area,Ready To Move,"Zhongpu Township, Chiayi County",3 BHK,1554,2,2,1430
Super built-up  Area,18-Dec,"Dapu Township, Chiayi County",2 BHK,1000 - 1285,1,0,1128.79
